id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,sales,net_profit,operating_profit,broad_sector,roe_score,roce_score,npm_score,fcf_score,cfo_score,revenue_score,pat_score,de_score,icr_score,composite_score,sector_composite_score
4327,SUNPHARMA,Mar 2024,19.82,26.84,15.09,0.05,58.33,0.57,11372.0,1.57,40.0,288.0,34.0,3274.0,12135.0,8.91,21.65,23.52,3.0,48497.0,9610.0,13018.0,Healthcare,32.48422806808713,0,74.54424373595272,90.5456132693147,57.931157481719275,11.708394698085419,67.36401673640167,99.2939847500706,27.505942373470926,55.54,100.0
3775,HCLTECH,Mar 2024,14.29,22.02,23.01,0.08,46.46,1.11,15840.0,6.01,58.0,254.0,90.0,5758.0,22448.0,10.29,9.09,8.97,3.0,109913.0,15710.0,24198.0,Information Technology,56.052850851089154,0,51.52751186214933,100.0,94.71731763866596,21.870397643593513,19.589197413465197,98.87037560011296,21.771310414130287,54.33,61.77228932012484
4094,MARUTI,Mar 2024,9.51,13.13,15.75,0.0,117.91,1.23,4936.0,8.36,429.0,2835.0,29.0,119.0,16801.0,13.93,19.82,18.86,3.0,141858.0,13488.0,18626.0,Consumer Discretionary,34.44827996667063,0,31.63239823524515,62.45307725883894,74.57463884430176,48.674521354933724,60.40319513122861,100.0,56.29021972288248,51.81,90.07355334244612
3684,DRREDDY,Mar 2024,19.91,28.32,19.74,0.07,51.71,0.72,509.0,14.4,67.0,369.0,12.0,2002.0,4543.0,12.26,21.88,21.67,3.0,28011.0,5578.0,7933.0,Healthcare,46.321866444470885,0,74.91883792558062,43.129637712789176,30.850722311396467,36.37702503681885,68.23887409661468,99.01157865009884,24.30768933464742,52.29,96.20546043498382
4029,LICI,Mar 2024,4.84,3.87,49.45,0.0,371.94,0.16,853.0,2.99,66.0,154.0,15.0,0.0,26122.0,7.37,72.56,,3.0,845966.0,40916.0,32779.0,Financials,100.0,0,12.19512195121951,44.63116542994325,100.0,0.3681885125184082,100.0,100.0,100.0,57.51,100.0
4055,LT,Mar 2024,7.03,13.51,77.67,0.1,3.54,8.03,20445.0,0.99,95.0,635.0,36.0,2071.0,18266.0,10.43,8.19,7.58,3.0,221113.0,15547.0,29865.0,Industrials,100.0,0,21.310247232165157,100.0,79.80024968789013,22.901325478645067,16.16584252567516,98.5879695001412,1.035808839159758,56.24,94.47230702136939
3762,HAVELLS,Mar 2024,6.84,10.12,17.07,0.04,25.36,1.5,335.0,8.7,20.0,124.0,44.0,303.0,1953.0,16.98,13.75,12.89,2.0,18590.0,1271.0,1881.0,Industrials,38.37638376383764,0,20.519437276284023,42.3701440419031,21.61227037631532,71.13402061855672,37.31456827691137,99.43518780005648,11.57748275262334,46.32,67.43349324029656
3813,HEROMOTOCO,Mar 2024,9.9,86.15,21.14,0.03,47.27,1.44,3095.0,4.84,187.0,951.0,75.0,606.0,4923.0,6.51,2.47,2.61,2.0,37789.0,3742.0,32554.0,Consumer Discretionary,50.48803713843589,0,33.25563972363273,54.417285028371886,32.20617085785625,0.0,0.0,99.57639085004236,22.162637447581503,40.62,53.65488511358456
4133,NESTLEIND,Mar 2024,16.12,23.83,117.75,0.1,41.19,2.32,2938.0,5.07,41.0,41.0,79.0,345.0,4175.0,8.19,9.8,9.1,2.0,24394.0,3933.0,5813.0,Consumer Staples,100.0,0,59.14426038458337,53.73199476211261,29.538077403245943,6.406480117820319,22.28984404716623,98.5879695001412,19.22526909772547,52.8,87.19298245614034
3917,INFY,Mar 2024,17.08,23.7,29.79,0.09,87.52,1.13,20117.0,3.31,63.0,218.0,,8359.0,25210.0,12.0,10.72,11.43,2.0,153670.0,26248.0,36425.0,Information Technology,76.22902035471965,0,63.13993174061433,100.0,100.0,34.46244477172312,25.78927348801826,98.72917255012709,41.60820917154617,60.73,83.48486904600352
3891,INDIGO,Mar 2024,11.85,76.3,892.57,0.02,22.61,56.39,9424.0,17.07,212.0,97.0,0.0,17.0,21183.0,16.42,,,2.0,68904.0,8167.0,52573.0,Consumer Discretionary,100.0,0,41.37184716557063,82.04277608031427,90.20510076689851,67.01030927835053,0.0,99.71759390002823,10.248903318066747,60.87,100.0
3697,EICHERMOT,Mar 2024,24.2,26.18,22.17,0.02,114.71,0.72,890.0,17.14,146.0,693.0,35.0,419.0,3724.0,13.3,18.49,18.42,2.0,16536.0,4001.0,4329.0,Consumer Discretionary,53.55314843471015,0,92.774494297844,44.79266695766041,27.929373996789725,44.035346097201774,55.34423735260555,99.71759390002823,54.744236380852996,56.64,100.0
3541,BOSCHLTD,Mar 2024,14.89,12.52,20.64,0.0,71.78,0.96,1536.0,1.69,844.0,4319.0,44.0,39.0,1253.0,11.75,26.24,26.3,2.0,16727.0,2490.0,2095.0,Consumer Discretionary,49.00011903344839,0,54.024806459668696,47.61239633347883,19.115391474942037,32.62150220913107,84.82312666413084,100.0,34.003903607938625,52.71,93.00266874959317
3306,ABB,Mar 2024,20.53,24.84,32.47,0.02,141.75,1.13,797.0,7.11,565.0,1657.0,73.0,83.0,1213.0,8.19,16.73,16.74,2.0,5849.0,1201.0,1453.0,Industrials,84.20426139745267,0,77.49937567635062,44.38673068529027,18.97271268057785,6.406480117820319,48.64967668314949,99.71759390002823,67.80779562100219,55.98,93.76362843436546
3839,HINDUNILVR,Mar 2024,16.61,76.32,20.07,0.03,57.85,0.79,10145.0,8.6,44.0,216.0,96.0,1484.0,15469.0,9.51,9.75,8.21,2.0,61896.0,10282.0,47237.0,Consumer Staples,47.303892393762645,0,61.18371763922417,85.18987341772151,69.82343499197432,16.126656848306332,22.099657664511223,99.57639085004236,27.274044872166503,51.88,83.15789473684212
3865,ICICIGI,Mar 2024,9.37,87.42,15.72,0.0,160.03,0.32,486.0,9.38,39.0,275.0,28.0,35.0,2407.0,15.13,16.09,14.42,2.0,20487.0,1919.0,17910.0,Financials,34.35900488037137,0,31.04969616249063,43.029244871235264,23.23167469234885,57.51104565537556,46.21529098516547,100.0,76.63922546234565,49.32,81.97850647561312
3967,ITC,Mar 2024,29.28,37.02,27.85,0.0,362.96,0.77,18742.0,2.21,16.0,60.0,84.0,303.0,17179.0,8.75,5.96,5.92,2.0,70866.0,20751.0,26233.0,Consumer Staples,70.45589810736817,0,100.0,100.0,75.92295345104334,10.530191458026508,7.683529859262077,100.0,100.0,62.21,100.0
4315,SIEMENS,Sep 2024,12.22,13.96,17.7,0.02,67.15,0.88,1168.0,2.26,76.0,431.0,16.0,279.0,1670.0,11.19,19.85,19.64,2.0,22240.0,2718.0,3104.0,Industrials,40.25116057612188,0,42.91184550070757,46.006110868616325,20.60281790618869,28.497790868924888,60.517306960821614,99.71759390002823,31.76705895993971,47.22,69.88661142607937
3606,CIPLA,Mar 2024,16.12,75.59,15.55,0.02,35.34,0.79,1152.0,11.57,51.0,351.0,25.0,559.0,4134.0,9.51,27.16,26.69,2.0,25774.0,4154.0,19483.0,Healthcare,33.85311272467563,0,59.14426038458337,45.936272370144046,29.391831639022648,16.126656848306332,88.32255610498288,99.71759390002823,16.399018300577815,49.17,78.15826006478484
3619,COALINDIA,Mar 2024,26.26,66.29,45.17,0.08,11.24,0.6,13617.0,3.15,61.0,156.0,42.0,6523.0,18103.0,7.87,15.52,15.71,2.0,142324.0,37369.0,94352.0,Materials,100.0,0,100.0,100.0,79.21883360085607,4.0500736377025035,44.04716622289844,98.87037560011296,4.755831255918218,64.28,100.0
4392,TCS,Mar 2024,19.14,26.69,50.94,0.09,87.1,1.66,50429.0,2.53,127.0,281.0,58.0,8021.0,44338.0,9.94,8.6,9.44,2.0,240893.0,46099.0,64296.0,Information Technology,100.0,0,71.7139765254308,100.0,100.0,19.29307805596465,17.725370863446177,98.72917255012709,41.4052988579048,62.82,90.57538336273578
3439,BAJAJ-AUTO,Mar 2024,17.18,19.53,26.61,0.07,174.42,1.14,6486.0,0.16,276.0,1109.0,29.0,1912.0,6558.0,10.32,7.18,7.88,2.0,44870.0,7708.0,8765.0,Consumer Discretionary,66.76586120699916,0,63.55614750686755,69.21868179834134,38.03816657749242,22.09131075110457,12.324077596044122,99.01157865009884,83.5913193035345,54.13,97.62416194753628
4198,PIDILITIND,Mar 2024,14.11,21.87,20.78,0.05,54.33,1.03,955.0,14.29,34.0,171.0,47.0,382.0,2724.0,12.08,11.95,11.55,2.0,12383.0,1747.0,2708.0,Materials,49.416736102844894,0,50.778323482893526,45.07638585770406,24.362404137685036,35.05154639175258,30.467858501331307,99.2939847500706,25.573463195934064,47.84,74.74850171232875
4068,LTIM,Mar 2024,12.91,17.98,22.9,0.1,31.93,1.29,1752.0,11.03,155.0,711.0,42.0,2071.0,5670.0,27.83,24.65,12.1,2.0,35517.0,4585.0,6387.0,Information Technology,55.72550886799189,0,45.78373428785483,48.55521606285465,34.87069734260746,100.0,78.77519969570179,98.5879695001412,14.751579801727635,59.08,77.88709458542543
