id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,id_y,peer_group_name,is_benchmark,chart_file
22,ABB,Mar 2024,5.612420141512675,25.0,0.7958933587120844,,0.15066521382353337,141.75,1.1263,67.27373432328001,416.0,565.0,17.6143,73.0,83.0,1213.0,,,,,,No peer group assigned,False,ABB_radar.png
34,ADANIENSOL,Mar 2024,2.560051292619816,30.0,0.31140906813099817,,19.72436337221034,2.2848,0.2837,67.47022906803466,4943.0,10.0,1.1337,0.0,37070.0,6038.0,,,,,,No peer group assigned,False,ADANIENSOL_radar.png
46,ADANIENT,Mar 2024,1.7036477296146182,12.0,0.2918275648610976,,11.242046356457754,2.7493,0.6004,61.17316593915256,18767.0,28.0,34.2772,5.0,65310.0,10312.0,,,,,,No peer group assigned,False,ADANIENT_radar.png
54,ADANIGREEN,Mar 2024,4.041583659636829,79.0,0.38194459066236014,,44.360816282604894,1.7139,0.1047,57.94748710915349,21060.0,7.0,0.6208,0.0,64858.0,7713.0,,,,,42.0,Power & Utilities,False,ADANIGREEN_radar.png
66,ADANIPORTS,Mar 2024,7.8587621075771095,58.0,0.4354252555070346,,6.304397540928475,5.9495,0.2283,72.18808107716045,6768.0,38.0,12.2171,16.0,49470.0,15018.0,,,,,,No peer group assigned,False,ADANIPORTS_radar.png
90,ADANIPOWER,Mar 2024,10.38446566371276,36.0,1.128778914300393,,5.396370582617001,8.2972,0.5472,78.38689683366522,3481.0,54.0,1.1186,0.0,34616.0,14170.0,,,,,39.0,Power & Utilities,False,ADANIPOWER_radar.png
101,AMBUJACEM,Mar 2024,4.1835543037713805,19.0,0.352888166455411,,0.11367152292936222,28.2645,0.5081,64.5755581637632,8941.0,16.0,9.4218,12.0,699.0,5646.0,,,,,,No peer group assigned,False,AMBUJACEM_radar.png
113,APOLLOHOSP,Mar 2024,2.0356758489615534,13.0,0.3960516951686326,,5.171717987005126,5.5657,1.1384,67.00075169130544,1537.0,63.0,9.6333,26.0,5333.0,1920.0,,,,,,No peer group assigned,False,APOLLOHOSP_radar.png
136,ASIANPAINT,Mar 2024,4.497263630326761,21.0,0.737148848902383,,0.8885211940218195,41.0049,1.1871,69.09295915810574,2548.0,57.0,19.5083,58.0,2474.0,6104.0,,,,,,No peer group assigned,False,ASIANPAINT_radar.png
173,AXISBANK,Mar 2024,6.116186943280438,11952.0,0.4455318378398865,,55.4844828282013,1.6912,0.072,57.15029869838716,9001.0,81.0,25.4494,1.0,1295302.0,-5555.0,,,,,3.0,Private Banks,False,AXISBANK_radar.png
160,BAJAJ-AUTO,Mar 2024,4.845320693366307,20.0,0.6725088327318512,,0.44392429073005374,174.4167,1.1405,71.02493768874704,72.0,276.0,10.3806,29.0,1912.0,6558.0,,,,,23.0,Automobiles,False,BAJAJ-AUTO_radar.png
