================================================================================
DAY 13 - RATIO EDGE CASE REVIEW
================================================================================
ABB | Dec 2012 | ROE | Computed=22.41 | Source=34.90 | Difference=12.49 | Category=Version Difference
ABB | Dec 2012 | ROCE | Computed=31.22 | Source=46.00 | Difference=14.78 | Category=Version Difference
ABB | Mar 2014 | ROE | Computed=25.13 | Source=34.90 | Difference=9.77 | Category=Version Difference
ABB | Mar 2014 | ROCE | Computed=33.88 | Source=46.00 | Difference=12.12 | Category=Version Difference
ABB | Mar 2015 | ROE | Computed=24.44 | Source=34.90 | Difference=10.46 | Category=Version Difference
ABB | Mar 2015 | ROCE | Computed=33.30 | Source=46.00 | Difference=12.70 | Category=Version Difference
ABB | Mar 2016 | ROE | Computed=21.34 | Source=34.90 | Difference=13.56 | Category=Version Difference
ABB | Mar 2016 | ROCE | Computed=30.79 | Source=46.00 | Difference=15.21 | Category=Version Difference
ABB | Mar 2017 | ROE | Computed=19.97 | Source=34.90 | Difference=14.93 | Category=Version Difference
ABB | Mar 2017 | ROCE | Computed=28.84 | Source=46.00 | Difference=17.16 | Category=Version Difference
ABB | Mar 2018 | ROE | Computed=23.69 | Source=34.90 | Difference=11.21 | Category=Version Difference
ABB | Mar 2018 | ROCE | Computed=31.25 | Source=46.00 | Difference=14.75 | Category=Version Difference
ABB | Mar 2019 | ROE | Computed=22.41 | Source=34.90 | Difference=12.49 | Category=Version Difference
ABB | Mar 2019 | ROCE | Computed=30.23 | Source=46.00 | Difference=15.77 | Category=Version Difference
ABB | Mar 2020 | ROE | Computed=24.39 | Source=34.90 | Difference=10.51 | Category=Version Difference
ABB | Mar 2020 | ROCE | Computed=29.39 | Source=46.00 | Difference=16.61 | Category=Version Difference
ABB | Mar 2021 | ROE | Computed=26.56 | Source=34.90 | Difference=8.34 | Category=Version Difference
ABB | Mar 2021 | ROCE | Computed=34.12 | Source=46.00 | Difference=11.88 | Category=Version Difference
ABB | Mar 2022 | ROE | Computed=28.33 | Source=34.90 | Difference=6.57 | Category=Version Difference
ABB | Mar 2022 | ROCE | Computed=37.05 | Source=46.00 | Difference=8.95 | Category=Version Difference
ABB | Mar 2023 | ROE | Computed=29.77 | Source=34.90 | Difference=5.13 | Category=Version Difference
ABB | Mar 2023 | ROCE | Computed=37.02 | Source=46.00 | Difference=8.98 | Category=Version Difference
ABB | Mar 2024 | ROCE | Computed=38.74 | Source=46.00 | Difference=7.26 | Category=Version Difference
ADANIENSOL | Mar 2014 | ROE | Computed=0.00 | Source=8.59 | Difference=8.59 | Category=Version Difference
ADANIENSOL | Mar 2014 | ROCE | Computed=0.00 | Source=9.00 | Difference=9.00 | Category=Version Difference
ADANIENSOL | Mar 2015 | ROE | Computed=-0.65 | Source=8.59 | Difference=9.24 | Category=Version Difference
ADANIENSOL | Mar 2015 | ROCE | Computed=1.61 | Source=9.00 | Difference=7.39 | Category=Version Difference
ADANIENSOL | Mar 2016 | ROE | Computed=13.77 | Source=8.59 | Difference=5.18 | Category=Version Difference
ADANIENSOL | Mar 2016 | ROCE | Computed=25.62 | Source=9.00 | Difference=16.62 | Category=Version Difference
ADANIENSOL | Mar 2017 | ROE | Computed=14.12 | Source=8.59 | Difference=5.53 | Category=Version Difference
ADANIENSOL | Mar 2017 | ROCE | Computed=24.22 | Source=9.00 | Difference=15.22 | Category=Version Difference
ADANIENSOL | Mar 2018 | ROE | Computed=18.87 | Source=8.59 | Difference=10.28 | Category=Version Difference
ADANIENSOL | Mar 2018 | ROCE | Computed=22.52 | Source=9.00 | Difference=13.52 | Category=Version Difference
ADANIENSOL | Mar 2019 | ROCE | Computed=14.79 | Source=9.00 | Difference=5.79 | Category=Version Difference
ADANIENSOL | Mar 2020 | ROCE | Computed=19.84 | Source=9.00 | Difference=10.84 | Category=Version Difference
