id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
17256,INDIGO,Mar 2019,0.55,100.53,120.93,0.68,21.62,76.4,634.0,8.86,4.0,97.0,123.0,88.0,3160.0,20.72,-19.93,-80.83,3.0
16924,NESTLEIND,Mar 2024,16.12,23.83,117.75,0.1,41.19,2.32,2938.0,5.07,41.0,41.0,79.0,345.0,4175.0,14.55,14.85,15.44,4.0
16846,LT,Mar 2024,7.03,13.51,77.67,0.1,3.54,8.03,20445.0,0.99,95.0,635.0,36.0,2071.0,18266.0,10.34,8.76,8.56,3.0
16909,NAUKRI,Mar 2022,810.7,28.07,74.71,0.0,1296.0,0.08,-470.0,74.07,991.0,3225.0,1.0,64.0,707.0,12.34,,,3.0
16371,BRITANNIA,Mar 2024,12.73,18.89,54.15,0.52,20.6,1.85,3050.0,2.84,89.0,133.0,83.0,2065.0,2573.0,8.69,13.06,13.14,4.0
17183,TCS,Mar 2024,19.14,26.69,50.94,0.09,87.1,1.66,50429.0,2.53,127.0,281.0,58.0,8021.0,44338.0,10.46,7.87,8.62,4.0
16820,LICI,Mar 2024,4.84,3.87,49.45,0.0,371.94,0.16,853.0,2.99,66.0,154.0,15.0,0.0,26122.0,8.16,73.18,,2.0
16170,ADANIPOWER,Mar 2024,41.37,36.2,48.28,0.8,8.3,0.55,17651.0,6.91,54.0,145.0,0.0,34616.0,14170.0,16.09,,,4.0
16319,BEL,Mar 2024,19.66,24.92,47.44,0.51,476.75,1.26,-1265.0,29.23,5.0,24.0,40.0,4300.0,4659.0,10.75,16.13,10.76,4.0
16423,COALINDIA,Mar 2024,26.26,66.29,45.17,0.08,11.24,0.6,13617.0,3.15,61.0,156.0,42.0,6523.0,18103.0,7.4,16.43,16.85,4.0
16553,HAL,Mar 2024,25.0,32.09,38.17,0.62,270.88,0.68,1814.0,21.11,114.0,465.0,31.0,12300.0,8226.0,8.71,26.49,26.64,4.0
17168,TATASTEEL,Mar 2022,17.11,26.02,36.48,0.66,11.86,0.86,33476.0,4.47,33.0,72.0,16.0,75561.0,44381.0,16.79,,,4.0
17235,TRENT,Mar 2024,11.94,15.93,36.31,0.43,8.04,1.73,841.0,4.11,42.0,132.0,8.0,1753.0,1349.0,36.31,73.11,69.52,4.0
16358,BPCL,Mar 2024,5.99,9.84,35.51,0.72,11.36,2.21,25415.0,2.35,62.0,178.0,33.0,54599.0,35936.0,8.48,25.79,28.06,3.0
16732,IRCTC,Mar 2024,26.02,34.33,34.4,0.02,82.74,0.7,667.0,5.04,14.0,44.0,47.0,60.0,882.0,17.96,29.17,28.47,3.0
16110,ABB,Mar 2024,20.53,24.84,32.47,0.02,141.75,1.13,797.0,7.11,565.0,1657.0,73.0,83.0,1213.0,9.72,21.69,21.66,4.0
16708,INFY,Mar 2024,17.08,23.7,29.79,0.09,87.52,1.13,20117.0,3.31,63.0,218.0,,8359.0,25210.0,13.2,11.24,12.47,4.0
16209,ASIANPAINT,Mar 2024,15.66,21.37,29.68,0.13,41.0,1.19,3556.0,7.18,57.0,188.0,58.0,2474.0,6104.0,13.03,20.28,20.97,3.0
16758,ITC,Mar 2024,29.28,37.02,27.85,0.0,362.96,0.77,18742.0,2.21,16.0,60.0,84.0,303.0,17179.0,7.95,10.08,9.86,3.0
17208,TITAN,Mar 2023,8.07,12.03,27.63,0.79,17.29,1.5,-444.0,4.47,37.0,110.0,27.0,9367.0,1370.0,20.28,24.33,23.27,2.0
16230,BAJAJ-AUTO,Mar 2024,17.18,19.53,26.61,0.07,174.42,1.14,6486.0,0.16,276.0,1109.0,29.0,1912.0,6558.0,8.13,9.36,10.18,3.0
16447,DIVISLAB,Mar 2022,33.04,43.36,25.24,0.0,1998.5,0.67,-283.0,24.5,112.0,517.0,27.0,4.0,1912.0,17.13,22.8,22.87,3.0
