id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,sales,net_profit,operating_profit,broad_sector
3923,IOC,Mar 2017,5.74,9.61,19.97,0.62,10.29,1.3,10532.0,4.98,14.0,129.0,45.0,63271.0,28216.0,9.5,,,3.0,355379.0,20385.0,34149.0,Energy
3924,IOC,Mar 2018,5.37,9.88,19.87,0.58,11.87,1.42,11996.0,4.06,15.0,129.0,90.0,65650.0,29115.0,9.5,,,3.0,421492.0,22626.0,41658.0,Energy
3925,IOC,Mar 2019,3.27,6.68,15.36,0.86,7.99,1.57,-9822.0,4.27,12.0,129.0,49.0,96765.0,12747.0,9.5,,,3.0,528158.0,17274.0,35262.0,Energy
3928,IOC,Mar 2022,4.37,8.1,19.27,0.99,9.55,1.43,4453.0,3.61,18.0,129.0,46.0,132020.0,25747.0,9.5,,,3.0,589321.0,25727.0,47758.0,Energy
3930,IOC,Mar 2024,5.56,9.74,23.53,0.72,10.28,1.61,39635.0,4.05,30.0,129.0,40.0,132628.0,71099.0,9.5,,,3.0,776352.0,43161.0,75646.0,Energy
4403,TECHM,Mar 2022,12.61,17.96,20.94,0.1,56.04,1.01,5765.0,1.08,57.0,270.0,47.0,2618.0,5285.0,7.32,-0.63,-1.98,3.0,44646.0,5630.0,8020.0,Information Technology
4404,TECHM,Mar 2023,9.11,14.57,17.39,0.1,26.77,1.16,5346.0,0.42,50.0,270.0,91.0,2740.0,5572.0,7.32,-0.63,-1.98,3.0,53290.0,4857.0,7763.0,Information Technology
3978,JINDALSTEL,Mar 2022,13.22,30.32,18.99,0.38,7.24,0.67,13717.0,4.56,56.0,464.0,5.0,13502.0,16048.0,5.69,,,3.0,51166.0,6766.0,15515.0,Materials
3824,HINDALCO,Mar 2022,7.04,85.47,17.56,0.82,133.06,0.88,10065.0,3.47,61.0,153.0,6.0,64486.0,16838.0,13.65,27.09,26.93,3.0,195059.0,13730.0,166712.0,Materials
3795,HDFCLIFE,Mar 2018,3.43,96.67,23.53,0.0,110.6,0.29,2318.0,13.7,6.0,73.0,25.0,0.0,6739.0,27.96,6.14,5.92,3.0,32260.0,1107.0,31186.0,Financials
3796,HDFCLIFE,Mar 2019,3.29,96.87,22.65,0.0,276.79,0.3,-314.0,26.21,6.0,73.0,26.0,0.0,9868.0,27.96,6.14,5.92,3.0,38855.0,1278.0,37640.0,Financials
3797,HDFCLIFE,Mar 2020,4.41,96.12,19.05,0.0,76.54,0.22,-401.0,26.51,6.0,73.0,0.0,0.0,7388.0,27.96,6.14,5.92,3.0,29380.0,1297.0,28239.0,Financials
3798,HDFCLIFE,Mar 2021,1.9,98.27,15.75,0.07,157.97,0.4,751.0,12.52,7.0,73.0,30.0,600.0,9703.0,27.96,6.14,5.92,3.0,71528.0,1361.0,70294.0,Financials
4026,LICI,Mar 2021,0.43,-0.04,43.2,0.0,,0.18,229049.0,21.49,7.0,154.0,0.0,4.0,80602.0,7.37,72.56,,3.0,690914.0,2974.0,-252.0,Financials
4027,LICI,Mar 2022,0.57,0.46,36.38,0.0,,0.17,8748.0,1.73,57.0,154.0,23.0,1.0,-3783.0,7.37,72.56,,3.0,723606.0,4125.0,3326.0,Financials
4028,LICI,Mar 2023,4.59,4.36,77.86,0.0,545.55,0.17,1671.0,6.74,65.0,154.0,5.0,0.0,54519.0,7.37,72.56,,3.0,784628.0,35997.0,34207.0,Financials
4029,LICI,Mar 2024,4.84,3.87,49.45,0.0,371.94,0.16,853.0,2.99,66.0,154.0,15.0,0.0,26122.0,7.37,72.56,,3.0,845966.0,40916.0,32779.0,Financials
4394,TECHM,Mar 2013,19.02,20.69,24.09,0.25,12.44,0.77,233.0,9.05,25.0,270.0,5.0,1380.0,855.0,7.32,-0.63,-1.98,3.0,6873.0,1307.0,1422.0,Information Technology
4395,TECHM,Mar 2014,16.29,22.19,33.35,0.04,55.2,1.18,1887.0,1.55,32.0,270.0,15.0,363.0,1596.0,7.32,-0.63,-1.98,3.0,18802.0,3062.0,4172.0,Information Technology
