id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,sales,net_profit,operating_profit,broad_sector
3674,DRREDDY,Mar 2014,14.63,24.23,24.96,0.57,26.94,0.84,366.0,11.96,23.0,369.0,16.0,4477.0,1970.0,12.26,21.88,21.67,3.0,13415.0,1963.0,3251.0,Healthcare
4286,SHREECEM,Mar 2021,17.23,30.17,15.18,0.14,18.0,0.63,1603.0,19.55,646.0,5787.0,9.0,2230.0,4254.0,9.0,2.34,2.42,3.0,13560.0,2337.0,4091.0,Materials
3675,DRREDDY,Mar 2015,15.55,23.35,23.71,0.44,34.89,0.81,154.0,15.78,27.0,369.0,15.0,4314.0,2524.0,12.26,21.88,21.67,3.0,15023.0,2336.0,3508.0,Healthcare
4424,TORNTPHARM,Mar 2017,16.06,23.68,21.47,0.58,7.77,0.61,211.0,13.72,28.0,222.0,25.0,2510.0,1009.0,7.32,12.68,12.89,3.0,5816.0,934.0,1377.0,Healthcare
3546,BPCL,Mar 2016,4.31,6.91,29.1,0.84,21.89,2.17,1886.0,4.92,19.0,178.0,25.0,23388.0,11119.0,9.38,30.23,35.52,3.0,187815.0,8089.0,12971.0,Energy
3497,BEL,Mar 2019,15.51,23.91,3851.02,0.96,186.38,96.54,618.0,7.37,3.0,24.0,44.0,47.0,1514.0,10.72,20.0,14.87,3.0,12164.0,1887.0,2909.0,Industrials
3498,BEL,Mar 2020,14.07,21.28,3318.18,0.8,357.25,106.3,1921.0,5.0,3.0,24.0,37.0,44.0,2570.0,10.72,20.0,14.87,3.0,12968.0,1825.0,2759.0,Industrials
3501,BEL,Mar 2023,16.84,23.06,3981.33,0.52,230.05,123.15,3907.0,15.27,4.0,24.0,44.0,39.0,1199.0,10.72,20.0,14.87,3.0,17734.0,2986.0,4090.0,Industrials
4377,TATASTEEL,Mar 2022,17.11,26.02,36.48,0.66,11.86,0.86,33476.0,4.47,33.0,72.0,16.0,75561.0,44381.0,9.59,16.57,14.87,3.0,243959.0,41749.0,63490.0,Materials
3978,JINDALSTEL,Mar 2022,13.22,30.32,18.99,0.38,7.24,0.67,13717.0,4.56,56.0,464.0,5.0,13502.0,16048.0,5.69,,,3.0,51166.0,6766.0,15515.0,Materials
4278,SHREECEM,Jun 2013,18.53,28.81,26.12,0.34,9.06,0.88,990.0,4.98,288.0,5787.0,7.0,1288.0,1260.0,9.0,2.34,2.42,3.0,5418.0,1004.0,1561.0,Materials
