id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,sales,net_profit,operating_profit,broad_sector,roe_score,roce_score,npm_score,fcf_score,cfo_score,revenue_score,pat_score,de_score,icr_score,composite_score,sector_composite_score
3749,HAL,Mar 2024,25.0,32.09,3816.58,0.62,270.88,67.51,1814.0,21.11,114.0,465.0,31.0,123.0,8226.0,7.76,24.41,24.77,3.0,30381.0,7595.0,9749.0,Industrials,100.0,0,96.10422042786982,48.825840244434744,43.98787230247904,3.240058910162,77.86230505895779,91.24541090087546,100.0,64.34,100.0
4327,SUNPHARMA,Mar 2024,19.82,26.84,15.09,0.05,58.33,0.57,11372.0,1.57,40.0,288.0,34.0,3274.0,12135.0,8.91,21.65,23.52,3.0,48497.0,9610.0,13018.0,Healthcare,32.48422806808713,0,74.54424373595272,90.5456132693147,57.931157481719275,11.708394698085419,67.36401673640167,99.2939847500706,27.505942373470926,55.54,100.0
3502,BEL,Mar 2024,19.66,24.92,4744.05,0.51,476.75,125.89,-1265.0,29.23,5.0,24.0,40.0,43.0,4659.0,10.72,20.0,14.87,3.0,20268.0,3985.0,5051.0,Industrials,100.0,0,73.87829850994756,35.38629419467482,31.264490815052614,25.036818851251848,61.087866108786606,92.79864445072013,100.0,55.88,93.49105974705625
4029,LICI,Mar 2024,4.84,3.87,49.45,0.0,371.94,0.16,853.0,2.99,66.0,154.0,15.0,0.0,26122.0,7.37,72.56,,3.0,845966.0,40916.0,32779.0,Financials,100.0,0,12.19512195121951,44.63116542994325,100.0,0.3681885125184082,100.0,100.0,100.0,57.51,100.0
3554,BPCL,Mar 2024,5.99,9.84,35.51,0.72,11.36,2.21,25415.0,2.35,62.0,178.0,33.0,54599.0,35936.0,9.38,30.23,35.52,3.0,448083.0,26859.0,44082.0,Energy,93.25080347577666,0,16.98160326313161,100.0,100.0,15.169366715758473,100.0,89.83338040101667,4.813805631244323,61.95,100.0
4431,TORNTPHARM,Mar 2024,15.44,31.39,24.15,0.59,9.93,0.74,3106.0,1.49,49.0,222.0,57.0,4022.0,3266.0,7.32,12.68,12.89,3.0,10728.0,1656.0,3368.0,Healthcare,59.44530413046064,0,56.31399317406143,54.46529899607159,26.295701801319776,0.0,33.24457968809433,91.6690200508331,4.1229443252748945,46.81,64.50717260527536
3353,ADANIPORTS,Mar 2024,30.34,58.36,15.35,0.94,5.95,0.23,8250.0,25.34,38.0,265.0,16.0,49470.0,15018.0,19.09,20.82,18.82,3.0,26711.0,8104.0,15589.0,Industrials,33.257945482680626,0,100.0,76.91837625491051,68.21473158551811,86.67157584683358,64.20692278432864,86.72691330132731,2.2001275436257175,61.62,100.0
3775,HCLTECH,Mar 2024,14.29,22.02,23.01,0.08,46.46,1.11,15840.0,6.01,58.0,254.0,90.0,5758.0,22448.0,10.29,9.09,8.97,3.0,109913.0,15710.0,24198.0,Information Technology,56.052850851089154,0,51.52751186214933,100.0,94.71731763866596,21.870397643593513,19.589197413465197,98.87037560011296,21.771310414130287,54.33,61.77228932012484
4055,LT,Mar 2024,7.03,13.51,77.67,0.1,3.54,8.03,20445.0,0.99,95.0,635.0,36.0,2071.0,18266.0,10.43,8.19,7.58,3.0,221113.0,15547.0,29865.0,Industrials,100.0,0,21.310247232165157,100.0,79.80024968789013,22.901325478645067,16.16584252567516,98.5879695001412,1.035808839159758,56.24,94.47230702136939
4094,MARUTI,Mar 2024,9.51,13.13,15.75,0.0,117.91,1.23,4936.0,8.36,429.0,2835.0,29.0,119.0,16801.0,13.93,19.82,18.86,3.0,141858.0,13488.0,18626.0,Consumer Discretionary,34.44827996667063,0,31.63239823524515,62.45307725883894,74.57463884430176,48.674521354933724,60.40319513122861,100.0,56.29021972288248,51.81,90.07355334244612
